术语	词频	归一化权重	累积权重
基因	4747	0.0355	0.0355
蛋白	2121	0.0159	0.0514
细胞	1494	0.0112	0.0626
家族	1313	0.0098	0.0724
序列	864	0.0065	0.0788
通路	799	0.0060	0.0848
患者	753	0.0056	0.0904
差异	559	0.0042	0.0946
位点	539	0.0040	0.0987
因子	530	0.0040	0.1026
植物	518	0.0039	0.1065
基因组	511	0.0038	0.1103
蛋白质	456	0.0034	0.1137
模型	432	0.0032	0.1170
结构	430	0.0032	0.1202
变异	385	0.0029	0.1231
元件	380	0.0028	0.1259
病毒	378	0.0028	0.1287
肿瘤	374	0.0028	0.1315
重组	374	0.0028	0.1343
期刊	365	0.0027	0.1371
小鼠	363	0.0027	0.1398
低温	352	0.0026	0.1424
数据库	349	0.0026	0.1450
信号	349	0.0026	0.1476
靶点	344	0.0026	0.1502
活性	338	0.0025	0.1527
调控	338	0.0025	0.1553
表位	328	0.0025	0.1577
菌株	327	0.0024	0.1602
大鼠	313	0.0023	0.1625
网络	312	0.0023	0.1648
发育	302	0.0023	0.1671
检测	301	0.0023	0.1693
测序	296	0.0022	0.1716
小麦	292	0.0022	0.1737
抗原	291	0.0022	0.1759
算法	286	0.0021	0.1781
染色体	272	0.0020	0.1801
烟草	260	0.0019	0.1820
编码	260	0.0019	0.1840
光谱	258	0.0019	0.1859
水稻	256	0.0019	0.1878
大豆	253	0.0019	0.1897
数据	250	0.0019	0.1916
技术	249	0.0019	0.1935
核心	249	0.0019	0.1953
遗传	247	0.0018	0.1972
诱导	245	0.0018	0.1990
预测	245	0.0018	0.2008
患儿	244	0.0018	0.2027
成分	238	0.0018	0.2044
细菌	237	0.0018	0.2062
疾病	234	0.0018	0.2080
拟南芥	233	0.0017	0.2097
逆境	233	0.0017	0.2114
组学	230	0.0017	0.2132
结构域	228	0.0017	0.2149
品种	226	0.0017	0.2166
乳腺癌	224	0.0017	0.2182
叶片	222	0.0017	0.2199
氨基酸	220	0.0016	0.2215
对照组	213	0.0016	0.2231
药物	208	0.0016	0.2247
载体	207	0.0015	0.2262
图像	207	0.0015	0.2278
